country,rain
"Egypt, Arab Rep.",51
Libya,56
Saudi Arabia,59
Qatar,74
United Arab Emirates,78
Bahrain,83
Algeria,89
Mauritania,92
Jordan,111
Kuwait,121
Oman,125
Niger,151
Turkmenistan,161
"Yemen, Rep.",167
Uzbekistan,206
Tunisia,207
Iraq,216
Djibouti,220
Cabo Verde,228
"Iran, Islamic Rep.",228
Mongolia,241
Kazakhstan,250
Sudan,250
Syrian Arab Republic,252
Mali,282
Somalia,282
Namibia,285
Chad,322
Afghanistan,327
Morocco,346
Eritrea,384
West Bank and Gaza,402
Botswana,416
Israel,435
Azerbaijan,447
Moldova,450
Russian Federation,460
Pakistan,494
South Africa,495
Cyprus,498
Kyrgyz Republic,533
Australia,534
Finland,536
Canada,537
Malta,560
Armenia,562
Ukraine,565
Hungary,589
Argentina,591
Turkey,593
Poland,600
Bulgaria,608
Belarus,618
"Macedonia, FYR",619
Sweden,624
Estonia,626
Kenya,630
Spain,636
Romania,637
Latvia,641
China,645
Greece,652
Lithuania,656
Zimbabwe,657
Lebanon,661
Czech Republic,677
Senegal,686
Tajikistan,691
Germany,700
Denmark,703
United States,715
Burkina Faso,748
Mexico,758
Netherlands,778
Lesotho,788
Swaziland,788
Slovak Republic,824
Italy,832
"Gambia, The",836
Belgium,847
Ethiopia,848
Portugal,854
France,867
Comoros,900
South Sudan,900
Luxembourg,934
Angola,1010
Zambia,1020
Georgia,1026
Bosnia and Herzegovina,1028
Antigua and Barbuda,1030
Mozambique,1032
Benin,1039
"Korea, Dem. Peopleâ€™s Rep.",1054
Tanzania,1071
India,1083
Austria,1110
Croatia,1113
Ireland,1118
Paraguay,1130
Bolivia,1146
Nigeria,1150
Slovenia,1162
Togo,1168
Uganda,1180
Malawi,1181
Ghana,1187
Rwanda,1212
United Kingdom,1220
Burundi,1274
"Korea, Rep.",1274
"Bahamas, The",1292
Uruguay,1300
Cuba,1335
Central African Republic,1343
Cote d'Ivoire,1348
Dominican Republic,1410
Norway,1414
Barbados,1422
St. Kitts and Nevis,1427
Haiti,1440
Albania,1485
Nepal,1500
Timor-Leste,1500
Madagascar,1513
Chile,1522
Switzerland,1537
"Congo, Dem. Rep.",1543
Guinea-Bissau,1577
St. Vincent and the Grenadines,1583
Cameroon,1604
Thailand,1622
"Congo, Rep.",1646
Guinea,1651
Japan,1668
Belize,1705
Sri Lanka,1712
New Zealand,1732
Peru,1738
Brazil,1761
El Salvador,1784
Vietnam,1821
Gabon,1831
Lao PDR,1834
Cambodia,1904
Iceland,1940
Maldives,1972
Honduras,1976
Guatemala,1996
Mauritius,2041
"Venezuela, RB",2044
Jamaica,2051
Puerto Rico,2054
Dominica,2083
Myanmar,2091
Equatorial Guinea,2156
Bhutan,2200
Trinidad and Tobago,2200
Ecuador,2274
Nicaragua,2280
St. Lucia,2301
Seychelles,2330
Suriname,2331
Philippines,2348
Grenada,2350
Guyana,2387
Liberia,2391
Singapore,2497
Sierra Leone,2526
Fiji,2592
Bangladesh,2666
Indonesia,2702
Brunei Darussalam,2722
Malaysia,2875
Costa Rica,2926
Panama,2928
Solomon Islands,3028
Papua New Guinea,3142
Sao Tome and Principe,3200
Colombia,3240
